Country,Embassy Name,Embassy Address,Google Maps URL
Czechia,Embassy of Germany,"Vlašská 19, 118 00 Malá Strana, Czechia",https://www.google.com/maps/place/?q=place_id:ChIJF-lopR2VC0cRllvVM2h2FJ4
Germany,Embassy of Germany,"20-22 Av. Emile Reuter, 2420 Ville-Haute Luxembourg",https://www.google.com/maps/place/?q=place_id:ChIJnQqpENVOlUcRV8mhOvadujA
Dominican Republic,Embassy of Germany,"Av. Gustavo Mejía Ricart 1986, Santo Domingo, Dominican Republic",https://www.google.com/maps/place/?q=place_id:ChIJ3QPvF-aJr44R77pm9owKL-I
Egypt,Embassy of the Federal Republic of Germany,"2 Berlin St, Al Gabalayah, Zamalek, Cairo Governorate 4270101, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJ6Z-7vuBAWBQRzMXMOdBfsmQ
Spain,Embassy of Germany,"C. de Fortuny, 8, 28010 Madrid, Spain",https://www.google.com/maps/place/?q=place_id:ChIJbQhrOJIoQg0RaH6ua-JfUSI
Estonia,Embassy of Germany,"Toom-Kuninga 11, 15048 Tallinn, Estonia",https://www.google.com/maps/place/?q=place_id:ChIJmaqyxJuUkkYRZk1xCDaDaWA
Finland,Embassy of Germany,"Krogiuksentie 4, 00340 Helsinki, Finland",https://www.google.com/maps/place/?q=place_id:ChIJieLx3wgKkkYRt1JiJS8mWYU
France,"Consulate General of Germany, Strasbourg","6 Quai Mullenheim, 67000 Strasbourg, France",https://www.google.com/maps/place/?q=place_id:ChIJyxSmFvjIlkcRFisMYfPEpYw
France,Embassy of the Federal Republic of Germany,"13/15 Av. Franklin Delano Roosevelt, 75008 Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJX86UxNpv5kcRfiNzflQcbxk
United Kingdom,Embassy of Germany,"23 Belgrave Square, London SW1X 8PZ, United Kingdom",https://www.google.com/maps/place/?q=place_id:ChIJY3AuBSa1cEgR-uYEO7GiN58
Georgia,Consulate General of Germany,"285 Peachtree Center Ave NE #901, Atlanta, GA 30303, United States",https://www.google.com/maps/place/?q=place_id:ChIJKbz5YncE9YgRMAvGqs8cfKk
Ghana,Embassy of the Federal Republic of Germany,"6 Kenneth Kaunda Rd, Accra, Ghana",https://www.google.com/maps/place/?q=place_id:ChIJ9T2DKXGa3w8RIkNTGM2CtZM
Gambia,Embassy of the Federal Republic of Germany,"1 Paradise Beach Place, Bertil Harding Hwy, Serrekunda, Gambia",https://www.google.com/maps/place/?q=place_id:ChIJW0om9Oabwg4RyeXbyPWhbpw
Guinea-Bissau,Germany Liaison Office,"V94P+FP6, Edifício SITEC, R. José Carlos Schwarz, Bissau, Guinea-Bissau",https://www.google.com/maps/place/?q=place_id:ChIJq0H9wt7a5g4Rq3AFhZwL_YI
Equatorial Guinea,Embassy of the Federal Republic of Germany,"Malabo Edificio Venus, 4° piso, Carretera del Aeropuerto, km 4, Malabo, Carr. del Aeropuerto, Malé, Equatorial Guinea",https://www.google.com/maps/place/?q=place_id:ChIJA4K_ISScZhARaknQNNHT0VE
