Country,Embassy Name,Embassy Address,Google Maps URL
Cameroon,Embassy of Brazil,"Rue 1828, Bastos (derrière l'Hôtel Azur), Yaoundé, Cameroon",https://www.google.com/maps/place/?q=place_id:ChIJ8SxkG0bPixARNVsZ9lDdqsk
Colombia,Brazilian Embassy,"a 72-98,, Cra. 4 #722, Bogotá, Colombia",https://www.google.com/maps/place/?q=place_id:ChIJcw8BFmiaP44RHeOAe8kvwEg
Costa Rica,Embassy of Brazil,"costado sur de la Contraloría General de la República, Oficentro Ejecutivo La Sabana Torre 6 Piso 2 Sabana Sur, San José, Costa Rica",https://www.google.com/maps/place/?q=place_id:ChIJVYgVx1njoI8R_UMPFZ-otFo
Cuba,Embassy of Brazil,"Lonja Del Comércio Calle Lamparilla, 2 - Fourth Floor K, La Habana 10100, Cuba",https://www.google.com/maps/place/?q=place_id:ChIJ2-h3kqh5zYgRHc4fyQ-zYks
Cyprus,Embassy of Brazil,"1101, Achaion 14, Egkomi, Cyprus",https://www.google.com/maps/place/?q=place_id:ChIJO__-XqoQ3hQRQkS7MLPSbUA
Czechia,Velvyslanectví Brazilské federativní republiky,"Panská 891/5, 110 00 Nové Město, Czechia",https://www.google.com/maps/place/?q=place_id:ChIJSf2cveyUC0cRQeALbOqZ4f8
Germany,Embassy of Brazil,"Wallstraße 57, 10179 Berlin, Germany",https://www.google.com/maps/place/?q=place_id:ChIJ2dT4QCROqEcRcajPgRcDcWE
Germany,Consulate General of Brazil,"Hansaallee 32A, 60320 Frankfurt am Main, Germany",https://www.google.com/maps/place/?q=place_id:ChIJN6-PMLUOvUcRqtJkmvc3kcs
Germany,Consulate General of Brazil,"Sonnenstraße 31, 80331 München, Germany",https://www.google.com/maps/place/?q=place_id:ChIJub2fuVjfnUcRUK5-e_tRzds
Denmark,Embassy of Brazil,"Jens Kofods Gade 1, 1268 København, Denmark",https://www.google.com/maps/place/?q=place_id:ChIJgUlh4eNSUkYR88OVzxBz6x8
Algeria,Embassy of Brazil,"82 Chemin Cheikh Bachir El Ibrahim, El Biar 16000, Algeria",https://www.google.com/maps/place/?q=place_id:ChIJs5-FGBSyjxIRbY5ArfkltJQ
Ecuador,Embajada de Brazil,"Avenida 12 de Octubre, N-N24-693, Quito, Ecuador",https://www.google.com/maps/place/?q=place_id:ChIJoQ1Jqg2a1ZEREQ5Pob6yRgk
Egypt,Embassy of the Federative Republic of Brazil,"Nile City - North Tower C – 18th Floor Cairo Egypt، 2005 Nile Corniche, Boulaq Num.4, Bulaq, Cairo Governorate, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJ24r_C8NAWBQRIZyflYCnw14
Western Sahara,Brazilian Embassy in Morocco,"38 Rue Mohamed Bahraoui, Rabat 10220, Morocco",https://www.google.com/maps/place/?q=place_id:ChIJA6P2ajUTpw0RwC12b0Q3X_g
Spain,Brazilian Consulate,"Pasaje Comercial, Calle de Goya, 5-7, 2a Entreplanta, 28001 Madrid, Spain",https://www.google.com/maps/place/?q=place_id:ChIJa03w4OqHZUARBeaf_WS-X7A
Estonia,Embassy of Brazil,"A. Lauteri 5, 10114 Tallinn, Estonia",https://www.google.com/maps/place/?q=place_id:ChIJiZCoW6CUkkYRSR_mqrbYHoU
Ethiopia,Embassy of Brazil,"XQPM+7X3, Addis Ababa, Ethiopia",https://www.google.com/maps/place/?q=place_id:ChIJ0RUVyfCESxYRU1PDJdUUUL8
