Country,Embassy Name,Embassy Address,Google Maps URL
Germany,Embassy of the Arab Republic of Egypt,"Stauffenbergstraße 6-7, 10785 Berlin, Germany",https://www.google.com/maps/place/?q=place_id:ChIJsfVjFLRRqEcRw9g-WX-itvo
Germany,Consulate General of Egypt,"Eysseneckstraße 34, 60322 Frankfurt am Main, Germany",https://www.google.com/maps/place/?q=place_id:ChIJkyIcHcsOvUcRoXntpS1iklo
Denmark,Embassy of Arab Republic of Egypt,"Kristianiagade 19, 2100 København, Denmark",https://www.google.com/maps/place/?q=place_id:ChIJt5HWR-FSUkYRwp7avtBhBvs
Algeria,Embassy of Egypt,"Q22Q+FFR, Chem. Abdelkader Gadouche, Hydra 16000, Algeria",https://www.google.com/maps/place/?q=place_id:ChIJB3vjRQ6yjxIRMa9icIyJ7H4
Algeria,Egyptian Embassy,"Q22P+QVC, Hydra, Algeria",https://www.google.com/maps/place/?q=place_id:ChIJBS1RLg2yjxIRewP0piMsZhY
Algeria,Egyptian embassy,"78 Chemin Cheikh Bachir El Ibrahim, El Biar 16000, Algeria",https://www.google.com/maps/place/?q=place_id:ChIJPYFv-QqzjxIRWyXAUXmfqbs
Ecuador,Egyptian Embassy,"Av. Tarqui 4-56 Y, Quito 170136, Ecuador",https://www.google.com/maps/place/?q=place_id:ChIJPT9VChia1ZER5_ecg1LrMQI
Eritrea,Egyptian Embassy,"8WMM+RRF, Marsa Fatuma St, Asmara, Eritrea",https://www.google.com/maps/place/?q=place_id:ChIJL7lnEU7ybRYRtGIFSwodsjA
Western Sahara,Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
Spain,Embassy of Egypt,"C. de Velázquez, 69, 28006 Madrid, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ_ySbmJUoQg0RfOaMlV5-ZkQ
Ethiopia,Embassy of Egypt,"2QW7+GMJ, Addis Ababa, Ethiopia",https://www.google.com/maps/place/?q=place_id:ChIJ1weIvm6PSxYRJVDhDKzVwcY
Finland,Embassy of Egypt in Helsinki,"Tehtaankatu 34 a, 00150 Helsinki, Finland",https://www.google.com/maps/place/?q=place_id:ChIJ5xKsLckLkkYRFQkqzk2ZwBs
Finland,Embassy of Egypt,"Itäinen Puistotie 2, 00140 Helsinki, Finland",https://www.google.com/maps/place/?q=place_id:ChIJqU-uRMcLkkYRjymHo5oCkgs
France,Embassy of Egypt,"56 Av. d'Iéna, 75116 Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJbyano-hv5kcRNMiNGU5cYJ0
Faroe Islands,Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
"Micronesia, Federated States of",Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
United Kingdom,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
United Kingdom,Embassy of Egypt,"26 South St, London W1K 1DW, United Kingdom",https://www.google.com/maps/place/?q=place_id:ChIJ57-wIi4FdkgRdLfIBbgxhNI
Guernsey,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
Ghana,Embassy of The Arab Republic of Egypt,"38 Senchi St, Accra, Ghana",https://www.google.com/maps/place/?q=place_id:ChIJDSq-uRqb3w8RbmNVo76VcJU
Ghana,Egypt Embassy,"19 NME St, Accra, Ghana",https://www.google.com/maps/place/?q=place_id:ChIJoyMqy-Kb3w8RUPJxiJ_lXdc
Greenland,Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
