Country,Embassy Name,Embassy Address,Google Maps URL
Botswana,Embassy of France,"761 Robinson Rd, Gaborone, Botswana",https://www.google.com/maps/place/?q=place_id:ChIJcxkrf6Nbux4REwdDOs3-jro
Central African Republic,Embassy of France,"Avenue Charles-de-Gaulle, Central African Republic",https://www.google.com/maps/place/?q=place_id:ChIJW2A8JrXvuBARLSoOsOHbRyg
Switzerland,Ambassade de France / Französische Botschaft,"Schosshaldenstrasse 46, 3006 Bern, Switzerland",https://www.google.com/maps/place/?q=place_id:ChIJgWQr8mE3jkcRo45r2CzEojg
Switzerland,Consulate of France,"Signaustrasse 1, 8008 Zürich, Switzerland",https://www.google.com/maps/place/?q=place_id:ChIJ4agjYEynmkcRpSIxGZIshqY
Switzerland,Consulate General of France,"Cours des Bastions 2, 1205 Genève, Switzerland",https://www.google.com/maps/place/?q=place_id:ChIJE66dxixljEcRADvUQLYR2Vg
Switzerland,Permanent Mission of France,"Rte de Pregny 36, 1292 Pregny-Chambésy, Switzerland",https://www.google.com/maps/place/?q=place_id:ChIJz_p111VkjEcRkwclpuzjIZg
Chile,"Embassy of France, Santiago","Condell 65, 7500753 Providencia, Región Metropolitana, Chile",https://www.google.com/maps/place/?q=place_id:ChIJg7XqDYTFYpYRBFdyaMKEhPs
China,Consulate General of the Republic of France in Shanghai,"China, Shanghai, Changning District, Zhongshan W Rd, 1055号SOHO中山广场A座18层 邮政编码: 200051",https://www.google.com/maps/place/?q=place_id:ChIJF95y7xBlsjURRfuo9V67Lv8
China,Consulate General of the Republic of France in Guangzhou,"China, Guangdong Province, Guangzhou, Yuexiu District, Huanshi E Rd, 339号广东国际大厦主楼写字楼810室 邮政编码: 510098",https://www.google.com/maps/place/?q=place_id:ChIJbzx6StT4AjQR1Z2DyWZXHl8
China,Consulate General of the Republic of France in Shenyang,"34 S Shisanwei Rd, Heping District, Shenyang, Shenyang, Liaoning, China, 110003",https://www.google.com/maps/place/?q=place_id:ChIJ2dUcGJaHL14RCbKcjVfhKhs
China,"Consulate General of France, Chengdu","2 Zongfu Rd, 盐市口商圈 Jinjiang District, Chengdu, Sichuan, China, 610016",https://www.google.com/maps/place/?q=place_id:ChIJ6WZLLUHF7zYRceR6yaLivNI
China,Consulate General of France in Wuhan,"China, Hubei, Wuhan, Jianghan District, Jianshe Blvd, 568号新世界国贸大厦1702 邮政编码: 430022",https://www.google.com/maps/place/?q=place_id:ChIJy4LUFcKuLjQRuBKjOBl_DfI
China,Consulate General of the Republic of France in Shanghai,"China, Shanghai, Huangpu, Guangdong Rd, 689号海通证券大厦201 邮政编码: 200003",https://www.google.com/maps/place/?q=place_id:ChIJ_bHCHWhwsjURWkdRpBYugHI
China,Official Residence of Consulate General of the Republic of France in Shanghai,"1431 Huaihai Rd (M), Xuhui District, Shanghai, China, 200031",https://www.google.com/maps/place/?q=place_id:ChIJxx-jbK16sjURKWXR7iCRgI8
China,Embassy of France in the Republic of China Former Site （North Gate）,"19 Beijing W Rd, Gulou, Nanjing, Jiangsu, China, 210024",https://www.google.com/maps/place/?q=place_id:ChIJzRwsrKGMtTURGxYhH8Wv608
China,France Zhu China Minguo Embassy Former Site （West Gate）,"56 Gao Yun Ling, Gulou, Nanjing, Jiangsu, China, 210009",https://www.google.com/maps/place/?q=place_id:ChIJw7dXFrGMtTUR17f-UBPRRPs
Côte d'Ivoire,Ambassade de France En Côte d'Ivoire,"82H5+96F, Abidjan, Côte d’Ivoire",https://www.google.com/maps/place/?q=place_id:ChIJk-wyOMrrwQ8R3lL62gROmmI
