Country,Embassy Name,Embassy Address,Google Maps URL
Switzerland,Consulate of Turkey,"Rte de Pré-Bois 20, 1215 Meyrin, Switzerland",https://www.google.com/maps/place/?q=place_id:ChIJ759n951kjEcR8zxXr-E4l2c
Switzerland,General Consulate of Turkey,"Weinbergstrasse 65, 8006 Zürich, Switzerland",https://www.google.com/maps/place/?q=place_id:ChIJrfCyQAoKkEcRxR1knVqkxs4
Chile,"Consulate General of Pakistan in Istanbul, Turkey.","Konaklar, Zeki Müren Sok. No:2, 34330 4.Levent/Beşiktaş/İstanbul, Türkiye",https://www.google.com/maps/place/?q=place_id:ChIJTSC6gG22yhQRNmiRzlrjMkA
Chile,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
Chile,Embassy of Turkey,"Monseñor Nuncio Sótero Sanz de Villalba 55, Providencia, Región Metropolitana, Chile",https://www.google.com/maps/place/?q=place_id:ChIJ1UsWIWTPYpYRyefAKHmEqpo
Cameroon,Embassy of Turkey,"VGR8+JXC, Boulevard de L'U.R.S.S, Yaoundé, Cameroon",https://www.google.com/maps/place/?q=place_id:ChIJCbwFalzPixAR9UFoWR0rDS8
"Congo, The Democratic Republic of the",Embassy of Turkey,"M7MG+QC7, Ave Pumbu, Kinshasa, Congo - Kinshasa",https://www.google.com/maps/place/?q=place_id:ChIJPUJN7tAzahoRiP1j_f4JclQ
Congo,Embassy of Turkey,"M7MG+QC7, Ave Pumbu, Kinshasa, Congo - Kinshasa",https://www.google.com/maps/place/?q=place_id:ChIJPUJN7tAzahoRiP1j_f4JclQ
Colombia,"Consulate General of Pakistan in Istanbul, Turkey.","Konaklar, Zeki Müren Sok. No:2, 34330 4.Levent/Beşiktaş/İstanbul, Türkiye",https://www.google.com/maps/place/?q=place_id:ChIJTSC6gG22yhQRNmiRzlrjMkA
Colombia,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
